latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
32.220676,-81.205723,017,037,5161,7440,2025-07-17,1600,L9,medium,D
32.220406,-81.205723,017,037,5161,7441,2025-07-17,1600,L9,high,D
32.220135,-81.205722,017,037,5161,7442,2025-07-17,1600,L9,high,D
32.21797,-81.205717,017,037,5161,7450,2025-07-17,1600,L9,high,D
32.219594,-81.205403,017,037,5162,7444,2025-07-17,1600,L9,high,D
33.436701,-81.090422,017,037,5527,2947,2025-07-17,1600,L9,high,D
33.43643,-81.090422,017,037,5527,2948,2025-07-17,1600,L9,medium,D
32.305822,-81.029371,017,037,5715,7126,2025-07-17,1600,L9,medium,D
32.305823,-81.029052,017,037,5716,7126,2025-07-17,1600,L9,medium,D
33.101434,-80.917425,017,037,6064,4186,2025-07-17,1600,L9,high,D
32.569239,-80.783684,017,037,6484,6152,2025-07-17,1600,L9,high,D
32.873932,-80.767875,017,037,6531,5026,2025-07-17,1600,L9,medium,D
32.873661,-80.767875,017,037,6531,5027,2025-07-17,1600,L9,low,D
32.856209,-80.705078,017,037,6727,5091,2025-07-17,1600,L9,high,D
32.855939,-80.705079,017,037,6727,5092,2025-07-17,1600,L9,high,D
32.856208,-80.704758,017,037,6728,5091,2025-07-17,1600,L9,low,D
32.855938,-80.704759,017,037,6728,5092,2025-07-17,1600,L9,medium,D
32.951453,-80.699948,017,037,6742,4739,2025-07-17,1600,L9,high,D
41.305042,-80.008101,017,031,1195,5594,2025-07-17,1557,L9,low,D
41.020025,-79.897853,017,031,1516,6645,2025-07-17,1557,L9,medium,D
41.020021,-79.897496,017,031,1517,6645,2025-07-17,1557,L9,high,D
28.198728,-82.57817,017,041,5754,1113,2025-07-17,1601,L9,high,D
27.607587,-82.485721,017,041,6030,3300,2025-07-17,1601,L9,high,D
27.224914,-82.411845,017,041,6257,4716,2025-07-17,1601,L9,high,D
27.224643,-82.411842,017,041,6257,4717,2025-07-17,1601,L9,medium,D
27.224646,-82.411539,017,041,6258,4717,2025-07-17,1601,L9,medium,D
27.224375,-82.411535,017,041,6258,4718,2025-07-17,1601,L9,medium,D
27.74764,-82.402093,017,041,6311,2786,2025-07-17,1601,L9,high,D
27.74737,-82.402089,017,041,6311,2787,2025-07-17,1601,L9,high,D
27.747643,-82.401789,017,041,6312,2786,2025-07-17,1601,L9,high,D
27.747373,-82.401785,017,041,6312,2787,2025-07-17,1601,L9,high,D
27.746299,-82.400858,017,041,6315,2791,2025-07-17,1601,L9,high,D
27.746028,-82.400855,017,041,6315,2792,2025-07-17,1601,L9,high,D
27.746302,-82.400554,017,041,6316,2791,2025-07-17,1601,L9,high,D
27.746031,-82.40055,017,041,6316,2792,2025-07-17,1601,L9,high,D
27.746305,-82.40025,017,041,6317,2791,2025-07-17,1601,L9,high,D
27.746034,-82.400246,017,041,6317,2792,2025-07-17,1601,L9,high,D
27.002445,-82.314124,017,041,6571,5541,2025-07-17,1601,L9,medium,D
27.002448,-82.313822,017,041,6572,5541,2025-07-17,1601,L9,high,D
27.002177,-82.313818,017,041,6572,5542,2025-07-17,1601,L9,high,D
26.880406,-82.303347,017,041,6602,5992,2025-07-17,1601,L9,high,D
26.883415,-82.30006,017,041,6613,5981,2025-07-17,1601,L9,high,D
27.563674,-82.272128,017,041,6731,3470,2025-07-17,1601,L9,medium,D
27.563403,-82.272125,017,041,6731,3471,2025-07-17,1601,L9,medium,D
27.563676,-82.271825,017,041,6732,3470,2025-07-17,1601,L9,medium,D
28.071269,-82.165105,017,041,7101,1599,2025-07-17,1601,L9,medium,D
28.070998,-82.165102,017,041,7101,1600,2025-07-17,1601,L9,medium,D
28.071813,-82.164805,017,041,7102,1597,2025-07-17,1601,L9,high,D
28.071542,-82.164802,017,041,7102,1598,2025-07-17,1601,L9,high,D
28.071271,-82.164799,017,041,7102,1599,2025-07-17,1601,L9,high,D
28.071,-82.164796,017,041,7102,1600,2025-07-17,1601,L9,high,D
39.831774,-80.753941,017,032,329,5760,2025-07-17,1558,L9,high,D
40.447358,-80.608786,017,032,733,3481,2025-07-17,1558,L9,high,D
40.447088,-80.608788,017,032,733,3482,2025-07-17,1558,L9,high,D
40.31276,-80.608505,017,032,736,3979,2025-07-17,1558,L9,medium,D
40.31249,-80.608506,017,032,736,3980,2025-07-17,1558,L9,medium,D
40.312754,-80.606739,017,032,741,3979,2025-07-17,1558,L9,high,D
40.312484,-80.606741,017,032,741,3980,2025-07-17,1558,L9,high,D
40.315447,-80.603899,017,032,749,3969,2025-07-17,1558,L9,medium,D
40.315446,-80.603546,017,032,750,3969,2025-07-17,1558,L9,high,D
40.848823,-80.44201,017,032,1195,1993,2025-07-17,1558,L9,low,D
